Dataset Summary,,,Data Quality Check,,,
,,,,,,
Item ,Value,,Column ,Missing Values,%Missing,Action
Total Orders,1200,,CouponCode,309,25.75%,"Retained, indicates no coupon used"
Total Columns,14,,All others,0,0%,No action needed
Date Range,"January 1, 2023- June 30, 2025",,,,,
Unique Customers,1178,,,,,
Unique Products,7,,,,,
Total Revenue," $1,264,761.96 ",,,,,
,,,,,,
,,,,,,
Column Information,,,,,,
,,,,,,
Column1,Column2,Column3,,,,
Column Name,Data Type,Description,,,,
OrderID,Text,Unique order identifier,,,,
Date,Date,Date order was placed,,,,
CustomerID,Text,Unique customer identifier,,,,
Product,Text,Product purchased,,,,
Quantity,Number,Units ordered (1-5),,,,
UnitPrice,Number,Price per unit,,,,
ShippingAddress,Text,Delivery address,,,,
PaymentMethod,Text,How customer paid,,,,
OrderStatus,Text,Current status of order,,,,
TrackingNumber,Text,Shipment tracking ID,,,,
ItemsInCart,Number,Total Items in Cart at checkout,,,,
CouponCode,Text,Discount code used(if any),,,,
ReferralSource,Text,How customer found the store,,,,
TotalPrice,Number,Final order value,,,,
